1392년,조선건국 태조 이성계
1398년,정종 조선 제 2대
1400년,태종 조선 제 3대 임금으로 등극
1408년,태조 이성계 사망
1418년,세종 조선 제 4대 임금으로 등극
1421년,집현전 확대 개편
1446년,한글 반포 (훈민정음)
1452년,단종 조선 제 6대 임금으로 등극
1455년,세조 조선 제 7대 임금으로 등극
1468년,예종 조선 제 8대 임금으로등극
1469년,성종 조선 제 9대 임금으로 등극
1485년,조선 법전 경국대전 완성
1494년,연산군 조선 제 10대 임금으로 등극
1498년,무오사화 발발
1504년,갑자사화 발발
1506년,중종반정으로 중종 조선 제 11대 임금으로 등극
1515년,조광조 등장
1519년,기묘사화 발발
1545년,명종 조선 제 13대 임금으로 등극
1555년,을묘왜변 발발
1565년,문정왕후 사망
1567년,선조 조선 제 14대 임금으로 등극
1575년,사림간의 암투 (동인과 서인 분열)
1587년,왜군의 전라도 침입
1592년,임진왜란 발발
1597년,정유재란 발발
1608년,광해군 조선 제 15대 임금으로 등극
1611년,농지 조사 측량 (양전 실시)
1617년,폐모론 대두와 인목대비 폐비 (1618)
1623년,인조반정으로 인조 조선 제 16대 임금으로 등극
1627년,정묘호란
1636년,병자호란
1649년,효종 조선 제 17대 임금으로 등극
1658년,나선정벌 (2차)
1659년,현종 조선 제 18대 임금으로 등극
1674년,숙종 조선 제 19대 임금으로 등극
1680년,경신환국
1689년,기사환국
1694년,갑술환국
1712년,백두산 정계비 세움
1720년,경종 조선 제 20대 임금으로 등극
1724년,영조 조선 제 21대 임금으로 등극
1728년,이인좌의 난
1736년,경국대전 보강 (속대전)
1762년,사도세자 사사 1701년 무고의 옥
1772년,탕평책 실시
1776년,정조 조선 제 22대 임금으로 등극
1781년,규장각 확대
1791년,신해박해
1800년,순조 조선 제 23대 임금으로 등극
1802년,김조순의 여식 순원왕후 간택
1811년,홍경래의 난
1827년,효명세자 (익종) 대리청정
1834년,헌종 조선 제 24대 임금 등극
1845년,영국 군함 불법 측량 후 퇴거
1849년,철종 조선 제 25대 임금으로 등극
1860년,동학 탄생
1863년,고종 조선 제 26대 임금 등극
1866년,제너럴 셔먼호 사건
1871년,신미양요 발발
1875년,운요호 사건
1876년,강화도 조약 (조.일수호조규) 체결
1882년,임오군란 발발
1884년,갑신정변
1894년,동학 농민 운동, 갑오개혁
1895년,을미사변, 을미개혁
1899년,대한제국 국제 반포
1904년,러.일 전쟁 발발, 한.일 협약 체결
1909년,기유각서, 사법권과 경찰권 박탈
1910년,한.일 병합조약 (경술국치)
1919년,3.1운동
1923년,관세 철폐
1926년,순종황제 붕어
1928년,신은행령 발표
1931년,만주 사변 발발 만주 괴뢰국 성립 푸이 추대
1941년,태평양전쟁 발발
1945년,일본 히로히토 천황의 무조건 항복 해방
